"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Soler, Jorge","624585","36","17.8",41.7,"112.7","91.9","105.1","97.4","90.1","408","188","390","18",50,"7",19.4,11.1
"Candelario, Jeimer","600869","36","8.4",19.4,"104.5","87","95.9","91.4","84","384","138","384","10",27.8,"2",5.6,3.3
"Wood, James","695578","36","-0.7",19.4,"115.8","94.1","107.6","104.5","89.3","413","135","397","22",61.1,"9",25,13
"Suárez, Eugenio","553993","36","20.4",27.8,"111.7","94.8","103.4","98.1","91.1","436","224","413","22",61.1,"7",19.4,10.8
"Rice, Ben","700250","36","10.7",38.9,"113.2","96.1","106.4","101.6","91.6","419","177","392","24",66.7,"10",27.8,16.7
"Diaz, Yainer","673237","35","10.1",22.9,"109.7","88","98.6","91.3","86.7","388","150","382","12",34.3,"4",11.4,8.2
"Wagaman, Eric","676572","35","3.5",34.3,"107.6","86.6","99.2","92.9","83","424","138","424","15",42.9,"2",5.7,4.5
"Rocchio, Brayan","677587","35","2.7",25.7,"103.2","84.7","96.6","90.8","82.2","378","130",,"11",31.4,"0",0,0
"Amaya, Miguel","665804","35","16.8",45.7,"105.8","87.5","97.4","89.4","85.2","393","186","386","10",28.6,"3",8.6,6.8
"Stowers, Kyle","669065","35","3.3",37.1,"110.3","90.9","103.8","100.3","85.4","421","137","421","20",57.1,"8",22.9,13.1
"Springer, George","543807","35","13.3",45.7,"109.3","93.6","101.9","96","91.2","422","178","395","19",54.3,"6",17.1,10.7
"Sosa, Lenyn","672820","35","17.1",37.1,"106.4","88.7","98.9","91","86.3","396","167","396","12",34.3,"2",5.7,4.2
"Buxton, Byron","621439","35","20.4",20,"112.5","89.6","103.4","93.9","87.4","446","168","413","19",54.3,"4",11.4,6.7
"Muncy, Max","691777","35","11",37.1,"112.6","88.6","99.3","93.8","84.5","430","156","430","10",28.6,"2",5.7,3.9
"Holliday, Jackson","702616","35","5.1",31.4,"109","90.3","100.2","93.2","89.2","425","136","425","14",40,"2",5.7,4.2
"Greene, Riley","682985","35","8.9",34.3,"114.3","88.9","101.5","97.7","80.5","417","150","388","16",45.7,"3",8.6,4.8
"Clement, Ernie","676391","35","22.8",37.1,"108.9","86.6","94.3","86.9","85.3","351","179",,"6",17.1,"1",2.9,2.2
"Sweeney, Trey","700242","35","1.6",28.6,"110.8","89.5","101.3","94.7","86","409","140","378","14",40,"3",8.6,6.1
"Langford, Wyatt","694671","34","21.3",35.3,"110.7","89.8","101.3","95.3","81.7","407","195","370","16",47.1,"4",11.8,8.3
"Lowe, Nathaniel","663993","34","13.8",44.1,"111.7","93.2","103.4","97.6","87.1","421","194","406","18",52.9,"5",14.7,7.9
"Bellinger, Cody","641355","34","25.5",35.3,"109.1","91.8","103","94.5","93.1","451","207","451","19",55.9,"3",8.8,5.6
"Fitzgerald, Tyler","666149","34","19.7",32.4,"105.6","88.7","98.6","89.6","89.2","370","157","369","11",32.4,"2",5.9,4.3
"O'Hearn, Ryan","656811","34","9.8",41.2,"109.4","87.8","100.6","94.1","81.2","388","154","388","16",47.1,"2",5.9,4.5
"Steer, Spencer","668715","34","17.8",23.5,"103.7","86.3","94.9","89.5","84.6","379","140","379","7",20.6,"2",5.9,4
"Aranda, Jonathan","666018","34","13.5",41.2,"111.4","96.7","105.2","96.1","98.2","401","185","372","21",61.8,"7",20.6,14
"Misner, Kameron","670224","34","13.7",32.4,"108.2","93.1","102.3","97.2","87.5","431","186","379","17",50,"4",11.8,8.9
"Robert Jr., Luis","673357","34","19.3",23.5,"113.8","86.8","100.7","92.5","88","387","141","384","13",38.2,"4",11.8,6.9
"Polanco, Jorge","593871","34","8.9",47.1,"108.7","88.7","100.4","93.6","79.1","413","176","395","14",41.2,"4",11.8,10
"Pham, Tommy","502054","34","3.7",17.6,"109.9","90.1","101.5","95.7","91","386","92",,"15",44.1,"1",2.9,1.7
"Call, Alex","669743","34","7.7",32.4,"107.9","87.2","95.7","89.4","86.4","380","140",,"9",26.5,"0",0,0
"Meyers, Jake","676694","33","2.4",18.2,"107.8","87.7","98.4","89.1","87.2","365","109",,"11",33.3,"1",3,2.1
"Keith, Colt","690993","33","2.6",36.4,"108.9","81","95.6","90.6","72","380","149",,"9",27.3,"2",6.1,3.3
"Domínguez, Jasson","691176","33","12.1",21.2,"109.7","84.2","98","88","86.4","391","132","377","12",36.4,"2",6.1,3.6
"Crawford, J.P.","641487","33","10.4",33.3,"103.3","83.6","94.6","91.4","78.6","391","128",,"10",30.3,"1",3,1.7
"Manzardo, Kyle","700932","33","20.2",24.2,"107.6","88.5","100.7","96.6","70.5","424","220","405","13",39.4,"7",21.2,11.9
"Goodman, Hunter","696100","33","21.3",30.3,"111.4","87.3","100.7","93","84.6","405","159","392","13",39.4,"5",15.2,9.6
"Conine, Griffin","665052","33","7.7",36.4,"108.7","92.2","102.3","95.4","89.2","404","154","404","18",54.5,"4",12.1,7.7
"Cruz, Oneil","665833","33","15.6",48.5,"115.3","91.4","103.2","95.3","84.3","391","205","386","16",48.5,"5",15.2,8.5
"Lux, Gavin","666158","33","9.1",36.4,"106.2","89.5","99.2","92.5","87.1","375","162",,"14",42.4,"2",6.1,3.4
"Rodríguez, Endy","682848","33","12.2",39.4,"104.9","91.4","99.1","95.5","87.4","378","177",,"15",45.5,"1",3,2
"Pauley, Graham","688363","32","12.6",34.4,"111.1","87.9","99.3","92","83.5","402","162",,"13",40.6,"2",6.3,4.5
